index	prediction
0	0
1	0
2	1
3	1
4	0
5	1
6	1
7	0
8	0
9	1
10	1
11	0
12	1
13	1
14	0
15	0
16	1
17	0
18	0
19	1
20	0
21	1
22	0
23	0
24	0
25	1
26	0
27	0
28	0
29	1
30	1
31	1
32	0
33	1
34	0
35	0
36	0
37	0
38	1
39	0
40	0
41	0
42	1
43	0
44	0
45	0
46	1
47	1
48	0
49	1
50	1
51	1
52	1
53	0
54	0
55	1
56	1
57	0
58	1
59	0
60	0
61	0
62	0
63	1
64	1
65	0
66	0
67	0
68	0
69	0
70	0
71	1
72	1
73	0
74	1
75	1
76	0
77	1
78	1
79	1
80	0
81	1
82	1
83	0
84	0
85	0
86	1
87	1
88	0
89	1
90	1
91	1
92	1
93	1
94	0
95	1
96	0
97	0
98	0
99	1
100	1
101	1
102	1
103	0
104	1
105	1
106	0
107	0
108	0
109	1
110	0
111	1
112	1
113	0
114	0
115	1
116	1
117	0
118	0
119	1
120	1
121	1
122	1
123	0
124	0
125	1
126	0
127	1
128	0
129	1
130	0
131	0
132	0
133	1
134	0
135	1
136	0
137	1
138	0
139	1
140	1
141	0
142	0
143	0
144	0
145	0
146	1
147	1
148	1
149	1
150	1
151	0
152	0
153	0
154	0
155	1
156	1
157	1
158	0
159	1
160	0
161	0
162	1
163	0
164	0
165	0
166	1
167	1
168	1
169	0
170	0
171	0
172	0
173	1
174	1
175	0
176	0
177	1
178	1
179	0
180	1
181	1
182	1
183	0
184	1
185	0
186	1
187	0
188	0
189	1
190	0
191	0
192	0
193	1
194	1
195	0
196	0
197	1
198	0
199	1
200	0
201	1
202	0
203	1
204	1
205	0
206	1
207	1
208	1
209	0
210	1
211	0
212	1
213	0
214	1
215	1
216	0
217	0
218	1
219	1
220	0
221	0
222	1
223	0
224	1
225	0
226	1
227	0
228	0
229	0
230	1
231	0
232	0
233	0
234	0
235	1
236	1
237	1
238	1
239	0
240	0
241	1
242	1
243	1
244	0
245	0
246	1
247	0
248	0
249	1
250	0
251	0
252	0
253	0
254	1
255	1
256	0
257	0
258	1
259	1
260	1
261	1
262	1
263	1
264	0
265	0
266	0
267	0
268	0
269	1
270	0
271	0
272	0
273	0
274	1
275	1
276	0
277	1
278	0
279	0
280	0
281	0
282	0
283	1
284	0
285	1
286	1
287	0
288	1
289	0
290	1
291	0
292	1
293	1
294	1
295	0
296	1
297	1
298	0
299	0
300	0
301	0
302	0
303	0
304	1
305	0
306	0
307	1
308	1
309	0
310	1
311	1
312	1
313	1
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	1
322	1
323	1
324	1
325	0
326	0
327	0
328	0
329	0
330	1
331	0
332	0
333	1
334	0
335	1
336	1
337	0
338	1
339	1
340	1
341	1
342	0
343	0
344	0
345	0
346	0
347	1
348	1
349	0
350	0
351	1
352	1
353	0
354	1
355	1
356	1
357	0
358	1
359	0
360	0
361	1
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	1
370	1
371	1
372	1
373	1
374	1
375	0
376	1
377	1
378	0
379	1
380	0
381	0
382	0
383	0
384	1
385	1
386	1
387	1
388	1
389	1
390	1
391	0
392	1
393	0
394	0
395	0
396	0
397	0
398	1
399	1
400	0
401	1
402	0
403	0
404	1
405	0
406	0
407	1
408	0
409	0
410	0
411	1
412	1
413	1
414	0
415	0
416	0
417	1
418	0
419	1
420	1
421	1
422	1
423	0
424	0
425	1
426	0
427	0
428	1
429	1
430	1
431	0
432	1
433	0
434	0
435	0
436	1
437	0
438	0
439	1
440	1
441	1
442	1
443	1
444	0
445	1
446	1
447	0
448	0
449	0
450	0
451	0
452	1
453	1
454	1
455	1
456	1
457	0
458	1
459	1
460	0
461	1
462	0
463	0
464	1
465	0
466	1
467	1
468	0
469	1
470	0
471	1
472	1
473	0
474	0
475	0
476	0
477	1
478	0
479	1
480	1
481	1
482	0
483	1
484	1
485	1
486	1
487	1
488	1
489	1
490	1
491	1
492	1
493	1
494	0
495	0
496	1
497	0
498	0
499	0
500	1
501	0
502	0
503	0
504	0
505	1
506	0
507	1
508	1
509	1
510	0
511	1
512	0
513	0
514	0
515	1
516	0
517	0
518	1
519	0
520	1
521	1
522	1
523	0
524	0
525	1
526	1
527	1
528	1
529	1
530	0
531	0
