index	prediction
0	0
1	0
2	1
3	1
4	0
5	1
6	0
7	0
8	0
9	0
10	1
11	1
12	0
13	0
14	1
15	0
16	0
17	1
18	0
19	1
20	0
21	1
22	0
23	0
24	0
25	1
26	0
27	0
28	1
29	1
30	0
31	1
32	0
33	1
34	0
35	0
36	0
37	0
38	1
39	0
40	1
41	1
42	0
43	0
44	0
45	1
46	0
47	1
48	1
49	1
50	0
51	1
52	1
53	0
54	0
55	1
56	1
57	0
58	1
59	1
60	0
61	0
62	1
63	1
64	1
65	1
66	0
67	0
68	0
69	0
70	0
71	0
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	0
81	0
82	1
83	0
84	1
85	0
86	1
87	1
88	0
89	0
90	1
91	1
92	0
93	0
94	1
95	0
96	0
97	1
98	1
99	1
100	0
101	0
102	0
103	0
104	1
105	0
106	0
107	0
108	0
109	1
110	1
111	0
112	0
113	0
114	1
115	1
116	1
117	1
118	0
119	1
120	1
121	1
122	1
123	1
124	0
125	1
126	0
127	0
128	1
129	1
130	0
131	1
132	0
133	1
134	0
135	0
136	0
137	0
138	1
139	1
140	0
141	1
142	1
143	1
144	1
145	0
146	1
147	1
148	1
149	1
150	1
151	1
152	0
153	1
154	1
155	1
156	1
157	0
158	1
159	1
160	0
161	0
162	1
163	0
164	0
165	0
166	0
167	0
168	0
169	1
170	0
171	0
172	0
173	1
174	1
175	0
176	1
177	1
178	1
179	1
180	0
181	1
182	0
183	0
184	1
185	0
186	1
187	0
188	0
189	0
190	0
191	0
192	0
193	1
194	1
195	0
196	0
197	1
198	1
199	0
200	0
201	0
202	0
203	1
204	1
205	0
206	1
207	1
208	1
209	0
210	0
211	0
212	0
213	0
214	0
215	1
216	1
217	1
218	0
219	1
220	1
221	1
222	1
223	0
224	1
225	1
226	1
227	0
228	0
229	0
230	1
231	0
232	0
233	1
234	0
235	1
236	1
237	1
238	1
239	0
240	1
241	0
242	1
243	1
244	1
245	0
246	0
247	1
248	0
249	0
250	0
251	1
252	1
253	0
254	1
255	0
256	0
257	0
258	0
259	0
260	1
261	1
262	1
263	1
264	1
265	0
266	0
267	1
268	1
269	0
270	0
271	1
272	0
273	0
274	1
275	1
276	1
277	0
278	1
279	1
280	1
281	0
282	1
283	1
284	1
285	1
286	1
287	0
288	1
289	0
290	1
291	0
292	0
293	1
294	1
295	0
296	1
297	1
298	0
299	1
300	1
301	0
302	0
303	0
304	1
305	0
306	0
307	0
308	1
309	0
310	0
311	0
312	1
313	1
314	0
315	1
316	0
317	1
318	0
319	1
320	1
321	1
322	0
323	1
324	1
325	0
326	1
327	0
328	0
329	0
330	1
331	0
332	1
333	1
334	0
335	1
336	1
337	0
338	1
339	0
340	0
341	1
342	0
343	0
344	1
345	0
346	1
347	0
348	0
349	0
350	0
351	1
352	1
353	0
354	1
355	1
356	0
357	0
358	0
359	0
360	0
361	1
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	1
370	1
371	1
372	0
373	0
374	1
375	0
376	0
377	1
378	0
379	1
380	1
381	0
382	0
383	1
384	1
385	1
386	1
387	0
388	1
389	1
390	1
391	1
392	1
393	0
394	1
395	1
396	0
397	0
398	0
399	0
400	0
401	1
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	1
412	0
413	1
414	0
415	0
416	0
417	0
418	1
419	1
420	1
421	1
422	0
423	0
424	1
425	1
426	1
427	0
428	0
429	0
430	0
431	1
432	1
433	1
434	1
435	1
436	0
437	0
438	0
439	1
440	0
441	0
442	1
443	1
444	0
445	1
446	1
447	0
448	1
449	0
450	0
451	0
452	1
453	1
454	1
455	0
456	1
457	1
458	1
459	0
460	1
461	1
462	0
463	1
464	1
465	1
466	0
467	1
468	1
469	1
470	0
471	1
472	1
473	0
474	0
475	1
476	1
477	1
478	0
479	0
480	1
481	0
482	1
483	1
484	0
485	0
486	0
487	1
488	0
489	0
490	0
491	1
492	1
493	1
494	0
495	0
496	1
497	1
498	1
499	0
500	0
501	0
502	0
503	0
504	0
505	1
506	0
507	1
508	1
509	1
510	0
511	0
512	0
513	0
514	0
515	0
516	1
517	1
518	1
519	0
520	1
521	1
522	1
523	0
524	0
525	1
526	0
527	1
528	0
529	0
530	0
531	1
