index	prediction
0	0
1	1
2	0
3	0
4	0
5	0
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	0
15	1
16	1
17	1
18	1
19	0
20	1
21	0
22	1
23	1
24	0
25	0
26	0
27	0
28	1
29	0
30	0
31	1
32	0
33	1
34	1
35	1
36	1
37	1
38	0
39	1
40	1
41	0
42	1
43	0
44	0
45	0
46	1
47	1
48	0
49	0
50	1
51	0
52	1
53	1
54	0
55	1
56	0
57	0
58	1
59	1
60	1
61	1
62	1
63	1
64	0
65	1
66	0
67	0
68	1
69	1
70	0
71	1
72	0
73	1
74	1
75	0
76	0
77	0
78	1
79	1
80	1
81	1
82	0
83	0
84	0
85	1
86	0
87	1
88	0
89	0
90	1
91	1
92	1
93	0
94	0
95	0
96	1
97	0
98	1
99	0
100	0
101	0
102	0
103	1
104	0
105	1
106	1
107	0
108	0
109	0
110	1
111	1
112	0
113	1
114	0
115	0
116	0
117	1
118	0
119	1
120	0
121	0
122	1
123	0
124	1
125	0
126	0
127	1
128	0
129	0
130	0
131	1
132	1
133	1
134	0
135	0
136	0
137	0
138	1
139	0
140	0
141	0
142	0
143	0
144	0
145	1
146	1
147	0
148	1
149	0
150	0
151	1
152	0
153	0
154	1
155	0
156	0
157	1
158	1
159	1
160	1
161	0
162	0
163	1
164	0
165	0
166	0
167	1
168	0
169	0
170	1
171	1
172	0
173	1
174	0
175	0
176	1
177	0
178	0
179	1
180	0
181	0
182	1
183	0
184	0
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	0
195	0
196	0
197	0
198	0
199	0
200	1
201	1
202	1
203	1
204	0
205	1
206	1
207	1
208	1
209	0
210	1
211	1
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	1
220	1
221	1
222	0
223	1
224	1
225	1
226	0
227	0
228	0
229	0
230	0
231	1
232	1
233	1
234	1
235	0
236	0
237	0
238	0
239	1
240	1
241	0
242	1
243	1
244	0
245	0
246	1
247	1
248	0
249	1
250	1
251	0
252	0
253	0
254	1
255	0
256	1
257	0
258	0
259	1
260	0
261	1
262	1
263	0
264	0
265	1
266	1
267	0
268	0
269	0
270	1
271	1
272	1
273	0
274	0
275	0
276	1
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	1
285	1
286	1
287	1
288	1
289	0
290	0
291	0
292	1
293	0
294	0
295	1
296	1
297	0
298	1
299	0
300	0
301	0
302	0
303	1
304	1
305	0
306	0
307	1
308	0
309	1
310	0
311	0
312	1
313	1
314	0
315	0
316	1
317	0
318	0
319	1
320	1
321	1
322	1
323	0
324	1
325	0
326	0
327	1
328	1
329	0
330	0
331	0
332	1
333	0
334	1
335	0
336	1
337	0
338	0
339	0
340	1
341	1
342	1
343	0
344	0
345	1
346	0
347	0
348	0
349	0
350	0
351	1
352	1
353	0
354	0
355	1
356	1
357	1
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	1
366	0
367	1
368	1
369	1
370	1
371	1
372	1
373	0
374	1
375	1
376	0
377	0
378	1
379	0
380	0
381	1
382	1
383	0
384	0
385	1
386	1
387	0
388	1
389	1
390	0
391	1
392	0
393	1
394	1
395	1
396	1
397	0
398	0
399	0
400	1
401	1
402	0
403	1
404	0
405	0
406	0
407	0
408	1
409	1
410	0
411	1
412	1
413	0
414	1
415	1
416	1
417	1
418	0
419	1
420	0
421	1
422	0
423	0
424	1
425	0
426	0
427	1
428	0
429	0
430	1
431	0
432	0
433	0
434	0
435	0
436	0
437	1
438	0
439	1
440	0
441	0
442	1
443	1
444	1
445	1
446	1
447	1
448	0
449	0
450	1
451	1
452	0
453	0
454	0
455	0
456	1
457	1
458	0
459	0
460	0
461	0
462	0
463	1
464	0
465	1
466	0
467	0
468	1
469	0
470	1
471	0
472	1
473	0
474	1
475	0
476	1
477	1
478	1
479	1
480	1
481	1
482	0
483	0
484	1
485	1
486	1
487	0
488	1
489	0
490	1
491	0
492	0
493	1
494	1
495	1
496	1
497	1
498	1
499	1
500	1
501	1
502	1
503	1
504	1
505	0
506	0
507	0
508	0
509	1
510	0
511	0
512	1
513	1
514	0
515	0
516	1
517	1
518	1
519	1
520	0
521	0
522	0
523	1
524	1
525	1
526	1
527	1
528	0
529	1
530	1
531	0
532	1
533	1
534	1
535	0
536	1
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	1
546	1
547	0
548	1
549	0
550	0
551	0
552	1
553	1
554	1
555	0
556	0
557	1
558	0
559	1
560	1
561	1
562	1
563	1
564	0
565	0
566	0
567	0
568	1
569	1
570	0
571	0
572	0
573	0
574	0
575	1
576	1
577	1
578	1
579	1
580	1
581	1
582	0
583	1
584	0
585	1
586	0
587	1
588	1
589	1
590	1
591	0
592	1
593	0
594	1
595	1
596	1
597	1
598	0
599	1
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	1
610	1
611	1
612	1
613	1
614	1
615	1
616	1
617	1
618	0
619	1
620	1
621	0
622	1
623	0
624	1
625	1
626	0
627	1
628	0
629	1
630	0
631	1
632	1
633	1
634	0
635	1
636	0
637	1
638	1
639	0
640	1
641	0
642	1
643	1
644	0
645	1
646	1
647	1
648	1
649	0
650	1
651	0
652	1
653	0
654	0
655	0
656	1
657	0
658	0
659	1
660	1
661	1
662	0
663	1
664	1
665	1
666	1
667	0
668	1
669	0
670	0
671	1
672	0
673	0
674	0
675	1
676	1
677	0
678	0
679	0
680	1
681	1
682	0
683	1
684	0
685	0
686	1
687	0
688	1
689	0
690	1
691	1
692	0
693	1
694	0
695	0
696	0
697	1
698	0
699	0
700	1
701	1
702	1
703	1
704	1
705	1
706	0
707	0
708	0
709	1
710	1
711	1
712	1
713	0
714	1
715	0
716	0
717	1
718	0
719	1
720	0
721	1
722	0
723	0
724	0
725	0
726	1
727	0
728	1
729	1
730	1
731	1
732	1
733	0
734	1
735	1
736	0
737	0
738	0
739	1
740	1
741	1
742	1
743	0
744	0
745	0
746	0
747	0
748	1
749	0
750	0
751	1
752	1
753	0
754	1
755	0
756	1
757	0
758	0
759	1
760	1
761	1
762	1
763	1
764	0
765	0
766	1
767	0
768	1
769	0
770	0
771	1
772	1
773	0
774	1
775	1
776	1
777	0
778	0
779	1
780	1
781	1
782	0
783	1
784	0
785	0
786	0
787	0
788	0
789	1
790	1
791	0
792	1
793	1
794	1
795	0
796	0
797	1
798	1
799	1
800	1
801	0
802	1
803	0
804	1
805	1
806	0
807	0
808	1
809	0
810	0
811	0
812	1
813	1
814	0
815	0
816	1
817	0
818	0
819	1
820	1
821	0
822	1
823	0
824	0
825	0
826	1
827	0
828	0
829	1
830	0
831	0
832	1
833	1
834	0
835	1
836	1
837	1
838	1
839	0
840	0
841	0
842	0
843	1
844	1
845	0
846	1
847	0
848	1
849	0
850	0
851	0
852	1
853	1
854	1
855	0
856	1
857	0
858	0
859	1
860	0
861	0
862	1
863	0
864	0
865	1
866	0
867	1
868	0
869	0
870	1
871	0
872	1
873	0
874	0
875	1
876	1
877	0
878	1
879	1
880	0
881	0
882	1
883	1
884	1
885	0
886	0
887	1
888	0
889	1
890	1
891	1
892	0
893	0
894	1
895	1
896	0
897	1
898	0
899	0
900	0
901	1
902	1
903	1
904	1
905	0
906	0
907	1
908	0
909	0
910	0
911	0
912	0
913	0
914	1
915	1
916	0
917	0
918	0
919	1
920	1
921	0
922	0
923	1
924	1
925	0
926	1
927	0
928	0
929	0
930	0
931	0
932	1
933	1
934	1
935	1
936	1
937	1
938	1
939	0
940	0
941	0
942	1
943	1
944	1
945	0
946	1
947	0
948	1
949	0
950	0
951	1
952	0
953	0
954	0
955	1
956	1
957	0
958	1
959	0
960	1
961	0
962	0
963	1
964	1
965	1
966	1
967	0
968	0
969	1
970	1
971	1
972	0
973	1
974	1
975	0
976	1
977	1
978	1
979	0
980	0
981	1
982	0
983	1
984	1
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	1
997	0
998	0
999	1
1000	1
1001	0
1002	1
1003	0
1004	1
1005	1
1006	0
1007	1
1008	1
1009	1
1010	1
1011	1
1012	1
1013	1
1014	1
1015	0
1016	1
1017	0
1018	0
1019	0
1020	1
1021	1
1022	0
1023	0
1024	0
1025	1
1026	1
1027	1
1028	0
1029	1
1030	0
1031	0
1032	0
1033	0
1034	1
1035	0
1036	1
1037	0
1038	1
1039	1
1040	0
1041	0
1042	0
1043	1
1044	0
1045	1
1046	0
1047	0
1048	0
1049	1
1050	1
1051	0
1052	0
1053	0
1054	1
1055	1
1056	1
1057	0
1058	1
1059	0
1060	1
